FRED Graph Observations,,
Federal Reserve Economic Data,,
Link: https://fred.stlouisfed.org,,
Help: https://fred.stlouisfed.org/help-faq,,
Economic Research Division,,
Federal Reserve Bank of St. Louis,,
,,
GS10_GS1,"GS10-GS1, %-%, Monthly, Not Seasonally Adjusted",
GS10_TB3MS,"GS10-TB3MS, %-%, Monthly, Not Seasonally Adjusted",
,,
Frequency: Monthly,,
observation_date,GS10_GS1,GS10_TB3MS
1953-04-01,0.47000,0.64000
1953-05-01,0.57000,0.89000
1953-06-01,0.66000,1.00000
1953-07-01,0.55000,0.89000
1953-08-01,0.67000,0.91000
1953-09-01,0.67000,1.08000
1953-10-01,0.87000,1.28000
1953-11-01,1.01000,1.24000
1953-12-01,0.93000,0.99000
1954-01-01,1.07000,1.30000
1954-02-01,1.33000,1.50000
1954-03-01,1.24000,1.34000
1954-04-01,1.33000,1.32000
1954-05-01,1.52000,1.61000
1954-06-01,1.56000,1.74000
1954-07-01,1.46000,1.58000
1954-08-01,1.48000,1.44000
1954-09-01,1.35000,1.37000
1954-10-01,1.26000,1.45000
1954-11-01,1.34000,1.55000
1954-12-01,1.30000,1.36000
1955-01-01,1.22000,1.39000
1955-02-01,1.08000,1.48000
1955-03-01,1.09000,1.40000
1955-04-01,1.00000,1.16000
1955-05-01,0.86000,1.31000
1955-06-01,0.87000,1.37000
1955-07-01,0.88000,1.30000
1955-08-01,0.60000,1.07000
1955-09-01,0.61000,0.90000
1955-10-01,0.49000,0.65000
1955-11-01,0.41000,0.65000
1955-12-01,0.23000,0.42000
1956-01-01,0.32000,0.49000
1956-02-01,0.35000,0.52000
1956-03-01,0.35000,0.71000
1956-04-01,0.26000,0.58000
1956-05-01,0.13000,0.46000
1956-06-01,0.26000,0.51000
1956-07-01,0.35000,0.80000
1956-08-01,0.23000,0.73000
1956-09-01,0.03000,0.54000
1956-10-01,0.06000,0.44000
1956-11-01,0.05000,0.50000
1956-12-01,-0.09000,0.38000
1957-01-01,0.09000,0.35000
1957-02-01,-0.04000,0.24000
1957-03-01,-0.01000,0.33000
1957-04-01,-0.01000,0.41000
1957-05-01,0.12000,0.54000
1957-06-01,0.15000,0.51000
1957-07-01,0.12000,0.77000
1957-08-01,-0.08000,0.56000
1957-09-01,-0.15000,0.39000
1957-10-01,-0.04000,0.39000
1957-11-01,0.15000,0.41000
1957-12-01,0.03000,0.17000
1958-01-01,0.44000,0.65000
1958-02-01,1.06000,1.52000
1958-03-01,1.14000,1.68000
1958-04-01,1.43000,1.75000
1958-05-01,1.55000,2.01000
1958-06-01,1.74000,2.14000
1958-07-01,1.59000,2.29000
1958-08-01,1.04000,1.85000
1958-09-01,0.71000,1.32000
1958-10-01,0.61000,1.17000
1958-11-01,0.64000,1.07000
1958-12-01,0.57000,1.09000
1959-01-01,0.66000,1.20000
1959-02-01,0.42000,1.26000
1959-03-01,0.38000,1.19000
1959-04-01,0.40000,1.17000
1959-05-01,0.35000,1.47000
1959-06-01,0.27000,1.13000
1959-07-01,0.01000,1.20000
1959-08-01,0.01000,1.05000
1959-09-01,-0.32000,0.64000
1959-10-01,-0.27000,0.48000
1959-11-01,-0.28000,0.38000
1959-12-01,-0.45000,0.20000
1960-01-01,-0.31000,0.37000
1960-02-01,-0.17000,0.53000
1960-03-01,0.23000,0.94000
1960-04-01,0.24000,1.05000
1960-05-01,0.14000,1.06000
1960-06-01,0.79000,1.69000
1960-07-01,0.70000,1.60000
1960-08-01,0.85000,1.50000
1960-09-01,0.73000,1.32000
1960-10-01,0.85000,1.59000
1960-11-01,0.85000,1.56000
1960-12-01,0.98000,1.59000
1961-01-01,1.03000,1.60000
1961-02-01,0.85000,1.36000
1961-03-01,0.86000,1.35000
1961-04-01,0.90000,1.49000
1961-05-01,0.84000,1.42000
1961-06-01,0.82000,1.55000
1961-07-01,1.00000,1.68000
1961-08-01,0.98000,1.65000
1961-09-01,0.92000,1.70000
1961-10-01,0.87000,1.62000
1961-11-01,0.87000,1.46000
1961-12-01,0.88000,1.46000
1962-01-01,0.80000,1.36000
1962-02-01,0.76000,1.31000
1962-03-01,0.87000,1.21000
1962-04-01,0.85000,1.11000
1962-05-01,0.84000,1.18000
1962-06-01,0.88000,1.18000
1962-07-01,0.72000,1.09000
1962-08-01,0.78000,1.16000
1962-09-01,0.92000,1.20000
1962-10-01,0.95000,1.19000
1962-11-01,0.92000,1.09000
1962-12-01,0.85000,0.99000
1963-01-01,0.79000,0.92000
1963-02-01,0.91000,1.00000
1963-03-01,0.90000,1.04000
1963-04-01,0.86000,1.07000
1963-05-01,0.81000,1.00000
1963-06-01,0.79000,1.00000
1963-07-01,0.54000,0.84000
1963-08-01,0.47000,0.68000
1963-09-01,0.51000,0.70000
1963-10-01,0.47000,0.66000
1963-11-01,0.38000,0.60000
1963-12-01,0.32000,0.61000
1964-01-01,0.38000,0.65000
1964-02-01,0.37000,0.62000
1964-03-01,0.31000,0.68000
1964-04-01,0.32000,0.76000
1964-05-01,0.36000,0.72000
1964-06-01,0.34000,0.69000
1964-07-01,0.47000,0.73000
1964-08-01,0.45000,0.69000
1964-09-01,0.36000,0.67000
1964-10-01,0.33000,0.62000
1964-11-01,0.24000,0.51000
1964-12-01,0.16000,0.34000
1965-01-01,0.25000,0.38000
1965-02-01,0.18000,0.28000
1965-03-01,0.15000,0.28000
1965-04-01,0.16000,0.27000
1965-05-01,0.18000,0.32000
1965-06-01,0.22000,0.41000
1965-07-01,0.22000,0.36000
1965-08-01,0.18000,0.41000
1965-09-01,0.09000,0.37000
1965-10-01,0.05000,0.32000
1965-11-01,0.08000,0.36000
1965-12-01,-0.10000,0.24000
1966-01-01,-0.27000,0.02000
1966-02-01,-0.11000,0.18000
1966-03-01,-0.10000,0.28000
1966-04-01,-0.15000,0.13000
1966-05-01,-0.15000,0.14000
1966-06-01,-0.16000,0.31000
1966-07-01,-0.15000,0.22000
1966-08-01,-0.32000,0.26000
